question,question_tag,property,answer,answer_tag
问醉驾并发生交通事故的法律后果是什么,问题,专业回答,《中华人民共和国刑法》第一百三十三条规定，醉驾并发生交通事故的法律后果：违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役；交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。《道路交通安全法》第一百零一条规定，违反道路交通安全法律、法规的规定，发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证。造成交通事故后逃逸的，由公安机关交通管理部门吊销机动车驾驶证，且终生不得重新取得机动车驾驶证。-法律依据：《中华人民共和国刑法》第一百三十三条违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役；交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。《道路交通安全法》第一百零一条违反道路交通安全法律、法规的规定，发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证。造成交通事故后逃逸的，由公安机关交通管理部门吊销机动车驾驶证，且终生不得重新取得机动车驾驶证。,回答
问醉驾吊销驾照罚款吗,问题,专业回答,醉驾会导致驾照被吊销并罚款。根据《刑法》第一百三十三条之一规定，在道路上驾驶机动车，有醉酒驾驶机动车情形的，处拘役，并处罚金。《道路交通安全法》第九十一条第二、五款规定，醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。饮酒后或者醉酒驾驶机动车发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。-法律依据：中华人民共和国刑法第一百三十三条之一在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：（一）追逐竞驶，情节恶劣的；（二）醉酒驾驶机动车的；（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。机动车所有人、管理人对前款第三项、第四项行为负有直接责任的，依照前款的规定处罚。有前两款行为，同时构成其他犯罪的，依照处罚较重的规定定罪处罚。,回答
问交通事故的责任认定书有什么内容,问题,专业回答,根据《道路交通事故处理程序规定》第六十四条第一款的规定，交通事故的责任认定书有以下内容：1、道路交通事故当事人、车辆、道路和交通环境等基本情况；2、道路交通事故发生经过；3、道路交通事故证据及事故形成原因分析；4、当事人导致道路交通事故的过错及责任或者意外原因；5、作出道路交通事故认定的公安机关交通管理部门名称和日期。第六十二条规定，公安机关交通管理部门应当自现场调查之日起十日内制作道路交通事故认定书。交通肇事逃逸案件在查获交通肇事车辆和驾驶人后十日内制作道路交通事故认定书。对需要进行检验、鉴定的，应当在检验报告、鉴定意见确定之日起五日内制作道路交通事故认定书。-法律依据：《道路交通事故处理程序规定》第六十二条公安机关交通管理部门应当自现场调查之日起十日内制作道路交通事故认定书。交通肇事逃逸案件在查获交通肇事车辆和驾驶人后十日内制作道路交通事故认定书。对需要进行检验、鉴定的，应当在检验报告、鉴定意见确定之日起五日内制作道路交通事故认定书。,回答
问醉酒驾驶营运机动车的会怎么处罚,问题,专业回答,根据《道路交通安全法》第九十一条第四款的规定，醉酒驾驶营运机动车的处罚为：由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。《刑法》第一百三十三条之一第一款规定，在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：（一）追逐竞驶，情节恶劣的；（二）醉酒驾驶机动车的；（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。-法律依据：《道路交通安全法》第九十一条醉酒驾驶营运机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。《刑法》第一百三十三条之一在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：（一）追逐竞驶，情节恶劣的；（二）醉酒驾驶机动车的；（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。,回答
问交通事故被抚养人是父母怎么计算抚养费,问题,专业回答,根据《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条第一款，交通事故被抚养人是父母，抚养费按照受诉法院所在地上一年度城镇居民人均消费性支出和农村居民人均年生活消费支出标准计算。被扶养人无劳动能力又无其他生活来源的，计算二十年。但六十周岁以上的，年龄每增加一岁减少一年；七十五周岁以上的，按五年计算。第十七条第二款规定，交通事故被抚养人是父母，抚养费按照受诉法院所在地上一年度城镇居民人均消费性支出和农村居民人均年生活消费支出标准计算。被扶养人无劳动能力又无其他生活来源的，计算二十年。但六十周岁以上的，年龄每增加一岁减少一年；七十五周岁以上的，按五年计算。-法律依据：《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十七条被扶养人生活费根据扶养人丧失劳动能力程度，按照受诉法院所在地上一年度城镇居民人均消费性支出和农村居民人均年生活消费支出标准计算。被扶养人为未成年人的，计算至十八周岁；被扶养人无劳动能力又无其他生活来源的，计算二十年。但六十周岁以上的，年龄每增加一岁减少一年；七十五周岁以上的，按五年计算。交通事故被抚养人是父母，抚养费按照受诉法院所在地上一年度城镇居民人均消费性支出和农村居民人均年生活消费支出标准计算。被扶养人无劳动能力又无其他生活来源的，计算二十年。但六十周岁以上的，年龄每增加一岁减少一年；七十五周岁以上的，按五年计算。,回答
问车祸赔偿有垫付的人吗,问题,专业回答,车祸赔偿，如急需抢救费用，由投保第三者责任险的保险公司在责任限额范围内支付。如果没有投保第三者责任险，则由道路交通事故社会救助基金垫付部分或者全部抢救费用。《道路交通安全法》第七十五条规定，医疗机构对交通事故中的受伤人员应当及时抢救，不得因抢救费用未及时支付而拖延救治。肇事车辆参加机动车第三者责任保险的，由保险公司在责任限额范围内支付抢救费用；但是如果抢救费用超过责任限额的，或者未参加机动车第三者责任保险，又或者肇事后逃逸的，由道路交通事故社会救助基金先行垫付部分或者全部的抢救费用，道路交通事故社会救助基金管理机构垫付后有权向交通事故责任人追偿。-法律依据：《道路交通安全法》第七十五条医疗机构对交通事故中的受伤人员应当及时抢救，不得因抢救费用未及时支付而拖延救治。肇事车辆参加机动车第三者责任强制保险的，由保险公司在责任限额范围内支付抢救费用；抢救费用超过责任限额的，未参加机动车第三者责任强制保险或者肇事后逃逸的，由道路交通事故社会救助基金先行垫付部分或者全部抢救费用，道路交通事故社会救助基金管理机构有权向交通事故责任人追偿。,回答
问交通事故起诉要的材料有哪些,问题,专业回答,交通事故起诉要的材料如下：1、起诉状；2、公安交通管理部门制作的交通事故责任认定书；3、医疗费、误工费、护理费、营养费、交通费、残疾辅助器具费等费用票据及证明材料；4、司法报告。根据《民事诉讼法》第六十四条第一款的规定，当事人对自己提出的主张，有责任提供证据。第一百二十条规定，起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。-法律依据：中华人民共和国民事诉讼法第六十四条当事人对自己提出的主张，有责任提供证据。中华人民共和国民事诉讼法第一百二十条起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。,回答
问交通事故认定书出具后几日能提车,问题,专业回答,交通事故认定书出具前，检验报告、鉴定意见确定之日起五日内就能提车。根据规定，并不是交通事故认定书出具后提车。根据《道路交通事故处理程序规定》第五十八条的规定，自检验报告、鉴定意见确定之日起五日内，公安机关交通管理部门应当通知当事人领取扣留的事故车辆。因扣留车辆发生的费用由作出决定的公安机关交通管理部门承担，但公安机关交通管理部门通知当事人领取，当事人逾期未领取产生的停车费用由当事人自行承担。经通知当事人三十日后不领取的车辆，经公告三个月仍不领取的，对扣留的车辆依法处理。-法律依据：道路交通事故处理程序规定第五十八条自检验报告、鉴定意见确定之日起五日内，公安机关交通管理部门应当通知当事人领取扣留的事故车辆。因扣留车辆发生的费用由作出决定的公安机关交通管理部门承担，但公安机关交通管理部门通知当事人领取，当事人逾期未领取产生的停车费用由当事人自行承担。经通知当事人三十日后不领取的车辆，经公告三个月仍不领取的，对扣留的车辆依法处理。,回答
问提起交通事故诉讼需要准备哪些材料,问题,专业回答,提起交通事故诉讼需要准备以下材料：1、起诉状和起诉状副本；2、交管部门制作的交通事故责任认定书；3、医疗费、交通费等费用的票据；4、伤残等级鉴定报告；5、收入证明；6、需要的其它材料。根据《民事诉讼法》第六十四条第一款的规定，当事人对自己提出的主张，有责任提供证据。第一百二十条规定，起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。-法律依据：《民事诉讼法》第六十四条当事人对自己提出的主张，有责任提供证据。《民事诉讼法》第一百二十条起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。,回答
问根据我国法律的规定醉驾几年不取得驾照,问题,专业回答,根据《道路交通安全法》第九十一条第二款、第四款、第五款，醉驾不得考取驾照的年限规定如下：醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。醉酒驾驶营运机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。饮酒后或者醉酒驾驶机动车发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。-法律依据：《道路交通安全法》第九十一条第二款、第四款、第五款醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。醉酒驾驶营运机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。饮酒后或者醉酒驾驶机动车发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。,回答
