question,question_tag,property,answer,answer_tag
问武装叛乱暴乱罪如何处罚,问题,专业回答,根据《刑法》第一百零四条规定，组织、策划、实施武装叛乱或者武装暴乱的，对首要分子或者罪行重大的，处无期徒刑或者十年以上有期徒刑；对积极参加的，处三年以上十年以下有期徒刑；对其他参加的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。策动、胁迫、勾引、收买国家机关工作人员、武装部队人员、人民警察、民兵进行武装叛乱或者武装暴乱的，依照前款的规定从重处罚。-法律依据：《刑法》第一百零四条组织、策划、实施武装叛乱或者武装暴乱的，对首要分子或者罪行重大的，处无期徒刑或者十年以上有期徒刑；对积极参加的，处三年以上十年以下有期徒刑；对其他参加的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。策动、胁迫、勾引、收买国家机关工作人员、武装部队人员、人民警察、民兵进行武装叛乱或者武装暴乱的，依照前款的规定从重处罚。,回答
问法制科可以撤销案件吗,问题,专业回答,撤销案件一般由公安机关办案部门制作撤销案件或者对犯罪嫌疑人终止侦查报告书，报县级以上公安机关负责人批准，因此法制科一般无权撤销案件。根据《刑法》第一百八十四条第一、二款规定，需要撤销案件或者对犯罪嫌疑人终止侦查的，办案部门应当制作撤销案件或者对犯罪嫌疑人终止侦查报告书，报县级以上公安机关负责人批准。公安机关决定撤销案件或者对犯罪嫌疑人终止侦查时，原犯罪嫌疑人在押的，应当立即释放，发给释放证明书。原犯罪嫌疑人被逮捕的，应当通知原批准逮捕的人民检察院。对原犯罪嫌疑人采取其他强制措施的，应当立即解除强制措施；需要行政处理的，依法予以处理或者移交有关部门。-法律依据：中华人民共和国刑法第一百八十四条需要撤销案件或者对犯罪嫌疑人终止侦查的，办案部门应当制作撤销案件或者对犯罪嫌疑人终止侦查报告书，报县级以上公安机关负责人批准。公安机关决定撤销案件或者对犯罪嫌疑人终止侦查时，原犯罪嫌疑人在押的，应当立即释放，发给释放证明书。原犯罪嫌疑人被逮捕的，应当通知原批准逮捕的人民检察院。对原犯罪嫌疑人采取其他强制措施的，应当立即解除强制措施；需要行政处理的，依法予以处理或者移交有关部门。,回答
问法医鉴定有时间限制吗,问题,专业回答,法医鉴定有时间限制。根据《司法鉴定程序通则》第二十八条规定，司法鉴定机构应当自司法鉴定委托书生效之日起三十个工作日内完成鉴定。鉴定事项涉及复杂、疑难、特殊技术问题或者鉴定过程需要较长时间的，经本机构负责人批准，完成鉴定的时限可以延长，延长时限一般不得超过三十个工作日。鉴定时限延长的，应当及时告知委托人。司法鉴定机构与委托人对鉴定时限另有约定的，从其约定。在鉴定过程中补充或者重新提取鉴定材料所需的时间，不计入鉴定时限。-法律依据：《司法鉴定程序通则》第二十八条司法鉴定机构应当自司法鉴定委托书生效之日起三十个工作日内完成鉴定。鉴定事项涉及复杂、疑难、特殊技术问题或者鉴定过程需要较长时间的，经本机构负责人批准，完成鉴定的时限可以延长，延长时限一般不得超过三十个工作日。鉴定时限延长的，应当及时告知委托人。司法鉴定机构与委托人对鉴定时限另有约定的，从其约定。在鉴定过程中补充或者重新提取鉴定材料所需的时间，不计入鉴定时限。,回答
问辩护人伪造证据怎么处理,问题,专业回答,辩护人伪造证据，处三年以下有期徒刑或者拘役；情节严重的，处三年以上七年以下有期徒刑。根据《刑法》第三百零六条规定，在刑事诉讼中，辩护人、诉讼代理人毁灭、伪造证据，帮助当事人毁灭、伪造证据，威胁、引诱证人违背事实改变证言或者作伪证的，处三年以下有期徒刑或者拘役；情节严重的，处三年以上七年以下有期徒刑。辩护人、诉讼代理人提供、出示、引用的证人证言或者其他证据失实，不是有意伪造的，不属于伪造证据。-法律依据：《刑法》第三百零六条在刑事诉讼中，辩护人、诉讼代理人毁灭、伪造证据，帮助当事人毁灭、伪造证据，威胁、引诱证人违背事实改变证言或者作伪证的，处三年以下有期徒刑或者拘役；情节严重的，处三年以上七年以下有期徒刑。辩护人、诉讼代理人提供、出示、引用的证人证言或者其他证据失实，不是有意伪造的，不属于伪造证据。,回答
问包屁罪一般判多长时间,问题,专业回答,对实施包庇罪的行为人一般处三年以下有期徒刑、拘役或者管制；情节严重的，处三年以上十年以下有期徒刑。根据《刑法》第三百一十条规定，明知是犯罪的人而为其提供隐藏处所、财物，帮助其逃匿或者作假证明包庇的，处三年以下有期徒刑、拘役或者管制；情节严重的，处三年以上十年以下有期徒刑。犯前款罪，事前通谋的，以共同犯罪论处。-法律依据：中华人民共和国刑法第三百一十条明知是犯罪的人而为其提供隐藏处所、财物，帮助其逃匿或者作假证明包庇的，处三年以下有期徒刑、拘役或者管制；情节严重的，处三年以上十年以下有期徒刑。犯前款罪，事前通谋的，以共同犯罪论处。,回答
问个人拥有电击棒违法吗,问题,专业回答,个人拥有电击棒不违法。根据《治安管理处罚法》第三十二条规定，非法携带枪支、弹药或者弩、匕首等国家规定的管制器具的，处五日以下拘留，可以并处五百元以下罚款；情节较轻的，处警告或者二百元以下罚款。非法携带枪支、弹药或者弩、匕首等国家规定的管制器具进入公共场所或者公共交通工具的，处五日以上十日以下拘留，可以并处五百元以下罚款。-法律依据：中华人民共和国治安管理处罚法第三十二条非法携带枪支、弹药或者弩、匕首等国家规定的管制器具的，处五日以下拘留，可以并处五百元以下罚款；情节较轻的，处警告或者二百元以下罚款。非法携带枪支、弹药或者弩、匕首等国家规定的管制器具进入公共场所或者公共交通工具的，处五日以上十日以下拘留，可以并处五百元以下罚款。,回答
问非法运输爆炸物品罪,问题,专业回答,根据《刑法》第一百二十五条规定，非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物的，处三年以上十年以下有期徒刑；情节严重的，处十年以上有期徒刑、无期徒刑或者死刑。非法制造、买卖、运输、储存毒害性、放射性、传染病病原体等物质，危害公共安全的，依照前款的规定处罚。单位犯前两款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照第一款的规定处罚。-法律依据：《刑法》第一百二十五条非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物的，处三年以上十年以下有期徒刑；情节严重的，处十年以上有期徒刑、无期徒刑或者死刑。非法制造、买卖、运输、储存毒害性、放射性、传染病病原体等物质，危害公共安全的，依照前款的规定处罚。单位犯前两款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照第一款的规定处罚。,回答
问非法聚会的定义人数,问题,专业回答,非法集会没有人数的限制，行为人举行集会时没有依照法律规定申请或者申请未获许可，或者未按照主管机关许可的起止时间、地点、路线进行，又拒不服从解散命令，严重破坏社会秩序的，均构成非法集会。根据《刑法》第二百九十六条规定，举行集会、游行、示威，未依照法律规定申请或者申请未获许可，或者未按照主管机关许可的起止时间、地点、路线进行，又拒不服从解散命令，严重破坏社会秩序的，对集会、游行、示威的负责人和直接责任人员，处五年以下有期徒刑、拘役、管制或者剥夺政治权利。-法律依据：《刑法》第二百九十六条举行集会、游行、示威，未依照法律规定申请或者申请未获许可，或者未按照主管机关许可的起止时间、地点、路线进行，又拒不服从解散命令，严重破坏社会秩序的，对集会、游行、示威的负责人和直接责任人员，处五年以下有期徒刑、拘役、管制或者剥夺政治权利。,回答
问公安机关刑事拘留规定有哪些,问题,专业回答,根据《刑事诉讼法》第八十二条规定，公安机关对于现行犯或者重大嫌疑分子，如果有下列情形之一的，可以先行拘留：（一）正在预备犯罪、实行犯罪或者在犯罪后即时被发觉的；（二）被害人或者在场亲眼看见的人指认他犯罪的；（三）在身边或者住处发现有犯罪证据的；（四）犯罪后企图自杀、逃跑或者在逃的；（五）有毁灭、伪造证据或者串供可能的；（六）不讲真实姓名、住址，身份不明的；（七）有流窜作案、多次作案、结伙作案重大嫌疑的。-法律依据：《刑事诉讼法》第八十二条公安机关对于现行犯或者重大嫌疑分子，如果有下列情形之一的，可以先行拘留：（一）正在预备犯罪、实行犯罪或者在犯罪后即时被发觉的；（二）被害人或者在场亲眼看见的人指认他犯罪的；（三）在身边或者住处发现有犯罪证据的；（四）犯罪后企图自杀、逃跑或者在逃的；（五）有毁灭、伪造证据或者串供可能的；（六）不讲真实姓名、住址，身份不明的；（七）有流窜作案、多次作案、结伙作案重大嫌疑的。,回答
问醉酒驾驶是刑事责任还是行政责任,问题,专业回答,醉酒驾驶行为人既要承担刑事责任，也要承担行政责任。根据《刑法》第一百三十三条之一第一款规定，在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：（一）追逐竞驶，情节恶劣的；（二）醉酒驾驶机动车的；（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。《道路交通安全法》第九十一条第二款规定，醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。-法律依据：中华人民共和国刑法第一百三十三条在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：（一）追逐竞驶，情节恶劣的；（二）醉酒驾驶机动车的；（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。中华人民共和国道路交通安全法第九十一条醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。,回答
