question,question_tag,property,answer,answer_tag
略,问题,专业回答,略-略,回答
问工伤脸上留疤赔偿是由用人单位支付吗,问题,专业回答,如果脸部的伤疤是在工作中造成的，经过劳动部门确认为工伤之后，职工的医疗费用将由用人单位支付。伤疤严重到不能到用人单位上班的，可以申请停工留薪，并且用人单位每月要按时支付工资给职工，不可以无故克扣工资。根据《工伤保险条例》第三十条第一、二款规定，职工因工作遭受事故伤害或者患职业病进行治疗，享受工伤医疗待遇。职工治疗工伤应当在签订服务协议的医疗机构就医，情况紧急时可以先到就近的医疗机构急救。-法律依据：《工伤保险条例》第三十条职工因工作遭受事故伤害或者患职业病进行治疗，享受工伤医疗待遇。职工治疗工伤应当在签订服务协议的医疗机构就医，情况紧急时可以先到就近的医疗机构急救。治疗工伤所需费用符合工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准的，从工伤保险基金支付。工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准，由国务院社会保险行政部门会同国务院卫生行政部门、食品药品监督管理部门等部门规定。,回答
问未满18满16周岁算童工吗,问题,专业回答,未满18满16周岁的不算童工。禁止用人单位招收未满16周岁的未成年人。用人单位非法招用未满16周岁的未成年人的，由劳动行政部门责令改正，处以罚款；情节严重的，由工商行政部门吊销营业执照。根据《禁止使用童工规定》第二条规定，国家机关、社会团体、企业事业单位、民办非企业单位或者个体工商户（以下统称用人单位）均不得招用不满16周岁的未成年人（招用不满16周岁的未成年人，以下统称使用童工）。禁止任何单位或者个人为不满16周岁的未成年人介绍就业。禁止不满16周岁的未成年人开业从事个体经营活动。-法律依据：禁止使用童工规定第二条国家机关、社会团体、企业事业单位、民办非企业单位或者个体工商户（以下统称用人单位）均不得招用不满16周岁的未成年人（招用不满16周岁的未成年人，以下统称使用童工）。禁止任何单位或者个人为不满16周岁的未成年人介绍就业。禁止不满16周岁的未成年人开业从事个体经营活动。,回答
问用人单位能不能辞退怀孕的女职工,问题,专业回答,用人单位一般是不能辞退怀孕的女职工的。女职工在孕期、产期、哺乳期的，用人单位不得解除劳动合同。用人单位违反本法规定解除或者终止劳动合同的，应当向劳动者支付赔偿金。根据《劳动合同法》第四十八条规定，用人单位违反本法规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。-法律依据：《劳动合同法》第四十八条用人单位违反本法规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。,回答
问员工存在劳动关系不上班可以解雇吗,问题,专业回答,员工存在劳动关系不上班的，如果有法定可以解除的情形，用人单位可以解雇并且无需支付经济补偿金。根据《劳动合同法》第三十九条规定，劳动者有下列情形之一的，用人单位可以解除劳动合同：（一）在试用期间被证明不符合录用条件的；（二）严重违反用人单位的规章制度的；（三）严重失职，营私舞弊，给用人单位造成重大损害的；（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；（六）被依法追究刑事责任的。-法律依据：《劳动合同法》第三十九条劳动者有下列情形之一的，用人单位可以解除劳动合同：（一）在试用期间被证明不符合录用条件的；（二）严重违反用人单位的规章制度的；（三）严重失职，营私舞弊，给用人单位造成重大损害的；（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；（六）被依法追究刑事责任的。,回答
问哪些情形会违反劳动合同,问题,专业回答,劳动者有下列情形之一的，用人单位不得解除劳动合同：（一）从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；（二）在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；（三）患病或者非因工负伤，在规定的医疗期内的。根据《劳动合同法》第四十八条规定，用人单位违反本法规解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。-法律依据：《劳动合同法》第四十八条用人单位违反本法规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。,回答
问劳动争议申请仲裁的时效是多长时间,问题,专业回答,劳动争议申请仲裁的时效期间为一年。仲裁时效期间从当事人知道或者应当知道其权利被侵害之日起计算。因当事人一方向对方当事人主张权利，或者向有关部门请求权利救济，或者对方当事人同意履行义务而中断。从中断时起，仲裁时效期间重新计算。根据《劳动争议调解仲裁法》第二十七条第三款规定，因不可抗力或者有其他正当理由，当事人不能在本条第一款规定的仲裁时效期间申请仲裁的，仲裁时效中止。从中止时效的原因消除之日起，仲裁时效期间继续计算。-法律依据：《劳动争议调解仲裁法》第二十七条劳动争议申请仲裁的时效期间为一年。仲裁时效期间从当事人知道或者应当知道其权利被侵害之日起计算。前款规定的仲裁时效，因当事人一方向对方当事人主张权利，或者向有关部门请求权利救济，或者对方当事人同意履行义务而中断。从中断时起，仲裁时效期间重新计算。因不可抗力或者有其他正当理由，当事人不能在本条第一款规定的仲裁时效期间申请仲裁的，仲裁时效中止。从中止时效的原因消除之日起，仲裁时效期间继续计算。,回答
问劳动争议仲裁管辖法院怎么确定,问题,专业回答,发生劳动争议的，对仲裁结果不满意的，劳动争议案件由用人单位所在地或者劳动合同履行地的基层人民法院管辖。劳动合同履行地不明确的，由用人单位所在地的基层人民法院管辖。根据《劳动争议调解仲裁法》第五十条的规定，当事人对本法第四十七条规定以外的其他劳动争议案件的仲裁裁决不服的，可以自收到仲裁裁决书之日起十五日内向人民法院提起诉讼；期满不起诉的，裁决书发生法律效力。-法律依据：《劳动争议调解仲裁法》第五十条当事人对本法第四十七条规定以外的其他劳动争议案件的仲裁裁决不服的，可以自收到仲裁裁决书之日起十五日内向人民法院提起诉讼；期满不起诉的，裁决书发生法律效力。,回答
问劳动合同到期未通知续签合同如何赔偿,问题,专业回答,劳动合同到期不通知的，用人单位可以选择不续签合同并且不需要任何理由，但是应当支付经济补偿金。每满一年补偿一个月工资，不满半年补偿半个月工资，满半年不满一年补偿一个月工资。根据《劳动合同法》第四十八条规定，用人单位违反本法规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。-法律依据：《劳动合同法》第四十八条用人单位违反本法规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当依照本法第八十七条规定支付赔偿金。,回答
问做出工伤认定对方不服怎么处理,问题,专业回答,劳动者或用人单位对工伤认定结论不服的，可以依法申请行政复议；对复议决定仍不服的，可以提起行政诉讼。申请工伤认定的职工或者直系亲属、该职工所在单位对工伤认定结论不服的，应该首先申请行政复议，对行政复议决定不服的，再依法提起行政诉讼。根据《工伤认定办法》第二十三条规定，职工或者其近亲属、用人单位对不予受理决定不服或者对工伤认定决定不服的，可以依法申请行政复议或者提起行政诉讼。-法律依据：《工伤认定办法》第二十三条职工或者其近亲属、用人单位对不予受理决定不服或者对工伤认定决定不服的，可以依法申请行政复议或者提起行政诉讼。,回答
