question,question_tag,property,answer,answer_tag
问农村房屋买卖是否合法,问题,专业回答,农村房屋买卖如果符合以下条件，是合法的：1、受让人为农村集体经济组织成员；2、受让人没有宅基地；3、受让人符合当地申请宅基地的条件；4、村委会同意转让人转让该房屋。根据《土地管理法》第六十二条第五款、第六款的规定，农村村民出卖、出租、赠与住宅后，再申请宅基地的，不予批准。国家允许进城落户的农村村民依法自愿有偿退出宅基地，鼓励农村集体经济组织及其成员盘活利用闲置宅基地和闲置住宅。-法律依据：《土地管理法》第六十二条农村村民出卖、出租、赠与住宅后，再申请宅基地的，不予批准。国家允许进城落户的农村村民依法自愿有偿退出宅基地，鼓励农村集体经济组织及其成员盘活利用闲置宅基地和闲置住宅。,回答
问买了没有商品房预售许可证的房屋怎么处理,问题,专业回答,买了没有商品房预售许可证的房屋，如起诉前开发商仍未获得证，合同无效，此时可以要求开发商退还房款。如果开发商故意隐瞒这一事实，可以要求开发商赔偿造成的损失。《城市商品房预售管理办法》第六条的规定，商品房预售实行许可制度。开发企业进行商品房预售，应当向房地产管理部门申请预售许可，取得《商品房预售许可证》。未取得《商品房预售许可证》的，不得进行商品房预售。《民法典》第一百五十七条规定，民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。-法律依据：《城市商品房预售管理办法》第六条商品房预售实行许可制度。开发企业进行商品房预售，应当向房地产管理部门申请预售许可，取得《商品房预售许可证》。未取得《商品房预售许可证》的，不得进行商品房预售。《民法典》第一百五十七条民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。法律另有规定的，依照其规定。,回答
问购房人能自己办理产权吗,问题,专业回答,购房人能自己办理产权证，但是目前一般是由开发商统一办理产权证。根据《商品房销售管理办法》第三十四条的规定，房地产开发企业应当在商品房交付使用前按项目委托具有房产测绘资格的单位实施测绘，测绘成果报房地产行政主管部门审核后用于房屋权属登记。房地产开发企业应当在商品房交付使用之日起60日内，将需要由其提供的办理房屋权属登记的资料报送房屋所在地房地产行政主管部门。房地产开发企业应当协助商品房买受人办理土地使用权变更和房屋所有权登记手续。-法律依据：《商品房销售管理办法》第三十四条房地产开发企业应当在商品房交付使用前按项目委托具有房产测绘资格的单位实施测绘，测绘成果报房地产行政主管部门审核后用于房屋权属登记。房地产开发企业应当在商品房交付使用之日起60日内，将需要由其提供的办理房屋权属登记的资料报送房屋所在地房地产行政主管部门。房地产开发企业应当协助商品房买受人办理土地使用权变更和房屋所有权登记手续。,回答
问期房可以转让吗,问题,专业回答,期房不可以转让。《国务院办公厅转发建设部等部门关于做好稳定住房价格工作意见的通知》第七条规定，根据《中华人民共和国城市房地产管理法》有关规定，国务院决定，禁止商品房预购人将购买的未竣工的预售商品房再行转让。在预售商品房竣工交付、预购人取得房屋所有权证之前，房地产主管部门不得为其办理转让等手续；房屋所有权申请人与登记备案的预售合同载明的预购人不一致的，房屋权属登记机关不得为其办理房屋权属登记手续。实行实名制购房，推行商品房预销售合同网上即时备案，防范私下交易行为。-法律依据：国务院办公厅转发建设部等部门关于做好稳定住房价格工作意见的通知第七条根据《中华人民共和国城市房地产管理法》有关规定，国务院决定，禁止商品房预购人将购买的未竣工的预售商品房再行转让。在预售商品房竣工交付、预购人取得房屋所有权证之前，房地产主管部门不得为其办理转让等手续；房屋所有权申请人与登记备案的预售合同载明的预购人不一致的，房屋权属登记机关不得为其办理房屋权属登记手续。实行实名制购房，推行商品房预销售合同网上即时备案，防范私下交易行为。,回答
问农村宅基地申请审批时间是多久,问题,专业回答,农村宅基地申请审批时间一般在二十日以内。符合条件的人员可以申请农村宅基地，申请应当向村民委员会提出，经讨论公示后，由乡镇人民政府审核后，报县国土资源部门审核，最后报县人民政府批准。根据《土地管理法》第六十二条第三款、第四款的规定，农村村民建住宅，应当符合乡（镇）土地利用总体规划、村庄规划，不得占用永久基本农田，并尽量使用原有的宅基地和村内空闲地。编制乡（镇）土地利用总体规划、村庄规划应当统筹并合理安排宅基地用地，改善农村村民居住环境和条件。农村村民住宅用地，由乡（镇）人民政府审核批准；其中，涉及占用农用地的，依照本法第四十四条的规定办理审批手续。-法律依据：《土地管理法》第六十二条农村村民建住宅，应当符合乡（镇）土地利用总体规划、村庄规划，不得占用永久基本农田，并尽量使用原有的宅基地和村内空闲地。编制乡（镇）土地利用总体规划、村庄规划应当统筹并合理安排宅基地用地，改善农村村民居住环境和条件。农村村民住宅用地，由乡（镇）人民政府审核批准；其中，涉及占用农用地的，依照本法第四十四条的规定办理审批手续。,回答
问买房国有土地使用证50年到期后怎么办呢,问题,专业回答,买房国有土地使用证50年到期后，由于会自动续期，只需缴纳续期费用，即可继续使用该土地，房屋也不会被国家回收。根据《民法典》第三百五十九条第一款的规定，住宅建设用地使用权期限届满的，自动续期。续期费用的缴纳或者减免，依照法律、行政法规的规定办理。《城镇国有土地使用权出让和转让暂行条例》第四十一条规定，土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。-法律依据：《民法典》第三百五十九条第一款住宅建设用地使用权期限届满的，自动续期。续期费用的缴纳或者减免，依照法律、行政法规的规定办理。《城镇国有土地使用权出让和转让暂行条例》第四十一条土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。,回答
问按揭买的二手房怎么转让,问题,专业回答,按揭买的二手房转让流程如下：1、将贷款还清；2、公开房屋买卖的相关信息；3、如存在意向的买家，可以就价格等事项协商；4、协商一致后，可以签订二手房买卖合同。《城市房地产管理法》第四十一条规定，房地产转让，应当签订书面转让合同，合同中应当载明土地使用权取得的方式。《民法典》第五百九十五条规定，买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。第五百九十六条规定，买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。-法律依据：《城市房地产管理法》第四十一条房地产转让，应当签订书面转让合同，合同中应当载明土地使用权取得的方式。《民法典》第五百九十五条买卖合同是出卖人转移标的物的所有权于买受人，买受人支付价款的合同。第五百九十六条买卖合同的内容一般包括标的物的名称、数量、质量、价款、履行期限、履行地点和方式、包装方式、检验标准和方法、结算方式、合同使用的文字及其效力等条款。,回答
问房屋土地使用权限是多长时间,问题,专业回答,房屋土地使用权限是根据土地使用性质确定的。根据《城镇国有土地使用权出让和转让暂行条例》第十二条的规定，土地使用权出让最高年限按下列用途确定：(一)居住用地七十年；(二)工业用地五十年；(三)教育、科技、文化、卫生、体育用地五十年；(四)商业、旅游、娱乐用地四十年；(五)综合或者其他用地五十年。第十六条规定，土地使用者在支付全部土地使用权出让金后，应当依照规定办理登记，领取土地使用证，取得土地使用权。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第十二条土地使用权出让最高年限按下列用途确定：(一)居住用地七十年；(二)工业用地五十年；(三)教育、科技、文化、卫生、体育用地五十年；(四)商业、旅游、娱乐用地四十年；(五)综合或者其他用地五十年。第十六条土地使用者在支付全部土地使用权出让金后，应当依照规定办理登记，领取土地使用证，取得土地使用权。,回答
问房屋土地使用年限40到国家会无偿收回吗,问题,专业回答,房屋土地使用年限为四十年，如属于住宅建设用地，到期不会回收。如果属于非住宅建设用地，到期后如果不申请续期，国家会无偿回收土地使用权以及建筑物，土地使用权证也会被收回。《城镇国有土地使用权出让和转让暂行条例》第四十条规定，土地使用权期满，土地使用权及其地上建筑物、其他附着物所有权由国家无偿取得。土地使用者应当交还土地使用证，并依照规定办理注销登记。第四十一条规定，土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第四十条土地使用权期满，土地使用权及其地上建筑物、其他附着物所有权由国家无偿取得。土地使用者应当交还土地使用证，并依照规定办理注销登记。第四十一条土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。,回答
问商铺转租可能产生的风险都有哪些,问题,专业回答,商铺转租可能产生的风险如下：1、房东没有同意转租，可以解除房屋租赁合同；2、次承租人未按照约定使用商铺，造成商铺损坏；3、可能存在的其他法律风险。根据《民法典》第七百一十六条的规定，承租人经出租人同意，可以将租赁物转租给第三人。承租人转租的，承租人与出租人之间的租赁合同继续有效；第三人造成租赁物损失的，承租人应当赔偿损失。承租人未经出租人同意转租的，出租人可以解除合同。-法律依据：《民法典》第七百一十六条承租人经出租人同意，可以将租赁物转租给第三人。承租人转租的，承租人与出租人之间的租赁合同继续有效；第三人造成租赁物损失的，承租人应当赔偿损失。承租人未经出租人同意转租的，出租人可以解除合同。,回答
