字段1,字段2,字段3
"
          问
          免责债务承担的条件        ","免责债务承担的条件：

1、须作为债务承担标的的债务具有可转移性；

2、须有有效的债务承担合同。

《民法典》第五百五十一条规定，债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。

第五百五十三条规定，债务人转移债务的，新债务人可以主张原债务人对债权人的抗辩；原债务人对债权人享有债权的，新债务人不得向债权人主张抵销。

第五百五十四条规定，债务人转移债务的，新债务人应当承担与主债务有关的从债务，但是该从债务专属于原债务人自身的除外。","
                  法律依据：
                  《民法典》第五百五十一条

债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。

《民法典》第五百五十三条

债务人转移债务的，新债务人可以主张原债务人对债权人的抗辩；
原债务人对债权人享有债权的，新债务人不得向债权人主张抵销。

《民法典》第五百五十四条

债务人转移债务的，新债务人应当承担与主债务有关的从债务，但是该从债务专属于原债务人自身的除外。                "
"
          问
          债权人起诉债务人需要对方身份证号码吗        ","债权人起诉债务人如果能提供对方身份证号码有助于更加准确的确定被告，如果不能提供的，可以通过其他信息确定被告。

《民事诉讼法》第一百一十九条规定，起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。

第一百二十一条规定，起诉状应当记明下列事项：

（一）原告的姓名、性别、年龄、民族、职业、工作单位、住所、联系方式，法人或者其他组织的名称、住所和法定代表人或者主要负责人的姓名、职务、联系方式；

（二）被告的姓名、性别、工作单位、住所等信息，法人或者其他组织的名称、住所等信息；

（三）诉讼请求和所根据的事实与理由；

（四）证据和证据来源，证人姓名和住所。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百一十九条

起诉必须符合下列条件：


（一）原告是与本案有直接利害关系的公民、法人和其他组织；


（二）有明确的被告；


（三）有具体的诉讼请求和事实、理由；


（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。                "
"
          问
          债权债务纠纷管辖如何选择        ","根据《民事诉讼法》第二十三条规定，因债权债务合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条规定，合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。

第三十五条规定，两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十三条

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条

合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。

第三十五条

两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。                "
"
          问
          借条没写还款日期诉讼时效是几年        ","借条没写还款日期，诉讼时效就从出借人要求还款的次日起计算3年，如果有还款准备期的，从准备期满的次日起计算3年，当事人一直未主张还款的，诉讼时效最长期限为20年。

《民法典》第一百八十八条规定，向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。                "
"
          问
          借条超过两年还有效吗        ","借条超过两年还有效。

《民法典》第一百八十八条规定，向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条规定，当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条

当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。                "
"
          问
          恶意拖欠个人债务怎么处理        ","恶意拖欠个人债务属于违约行为，债权人可以先书面通知催告其偿还欠款，并可主张违约金。对方仍不还款的，可以到法院起诉。

《民法典》第五百七十七条规定，当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。

第五百七十八条规定，当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。

第五百七十九条规定，当事人一方未支付价款、报酬、租金、利息，或者不履行其他金钱债务的，对方可以请求其支付。","
                  法律依据：
                  《民法典》第五百七十七条

当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。

第五百七十八条

当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。

第五百七十九条

当事人一方未支付价款、报酬、租金、利息，或者不履行其他金钱债务的，对方可以请求其支付。                "
"
          问
          未定或不明之债的诉讼时效期间的起算        ",根据《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定》第四条规定，未定或不明之债，依照民法典第五百一十条、第五百一十一条的规定，可以确定履行期限的，诉讼时效期间从履行期限届满之日起计算；不能确定履行期限的，诉讼时效期间从债权人要求债务人履行义务的宽限期届满之日起计算，但债务人在债权人第一次向其主张权利之时明确表示不履行义务的，诉讼时效期间从债务人明确表示不履行义务之日起计算。,"
                  法律依据：
                  《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定》第四条

未约定履行期限的合同，依照民法典第五百一十条、第五百一十一条的规定，可以确定履行期限的，诉讼时效期间从履行期限届满之日起计算；不能确定履行期限的，诉讼时效期间从债权人要求债务人履行义务的宽限期届满之日起计算，但债务人在债权人第一次向其主张权利之时明确表示不履行义务的，诉讼时效期间从债务人明确表示不履行义务之日起计算。                "
"
          问
          债务人违约了怎么办        ","债务人违约了，债权人可要求其承担违约责任。

根据《民法典》第五百七十七条规定，当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。

第五百七十八条规定，当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。

第五百七十九条规定，当事人一方未支付价款、报酬、租金、利息，或者不履行其他金钱债务的，对方可以请求其支付。","
                  法律依据：
                  《民法典》第五百七十七条

当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。

第五百七十八条

当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。

第五百七十九条

当事人一方未支付价款、报酬、租金、利息，或者不履行其他金钱债务的，对方可以请求其支付。                "
"
          问
          借贷中对保证方式没有约定法院如何认定        ","根据《民法典》第六百八十六条规定，保证的方式包括一般保证和连带责任保证。

当事人在借贷中对保证方式没有约定或者约定不明确的，按照一般保证承担保证责任。

第六百八十七条第一款规定，当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。

第六百八十八条规定，当事人在保证合同中约定保证人和债务人对债务承担连带责任的，为连带责任保证。

连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。","
                  法律依据：
                  《民法典》第六百八十七条

当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。

一般保证的保证人在主合同纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，但是有下列情形之一的除外：

（一）债务人下落不明，且无财产可供执行；

（二）人民法院已经受理债务人破产案件；

（三）债权人有证据证明债务人的财产不足以履行全部债务或者丧失履行债务能力；

（四）保证人书面表示放弃本款规定的权利。                "
"
          问
          债权转让纠纷的当事人包括哪些        ","债权转让纠纷的当事人包括债权人、债务人、受让人。

《民法典》第五百四十五条规定，债权人可以将债权的全部或者部分转让给第三人，但是有下列情形之一的除外：

（一）根据债权性质不得转让；

（二）按照当事人约定不得转让；

（三）依照法律规定不得转让。

当事人约定非金钱债权不得转让的，不得对抗善意第三人。当事人约定金钱债权不得转让的，不得对抗第三人。

第五百四十六条规定，债权人转让债权，未通知债务人的，该转让对债务人不发生效力。

债权转让的通知不得撤销，但是经受让人同意的除外。","
                  法律依据：
                  《民法典》第五百四十五条

债权人可以将债权的全部或者部分转让给第三人，但是有下列情形之一的除外：

（一）根据债权性质不得转让；

（二）按照当事人约定不得转让；

（三）依照法律规定不得转让。

当事人约定非金钱债权不得转让的，不得对抗善意第三人。当事人约定金钱债权不得转让的，不得对抗第三人。

第五百四十六条

债权人转让债权，未通知债务人的，该转让对债务人不发生效力。

债权转让的通知不得撤销，但是经受让人同意的除外。                "
