字段1,字段2,字段3
"
          问
          企业战略的构成要素有哪些        ","企业战略的构成要素主要包括企业目标、经营范围、资源配置、竞争优势等。

《中华人民共和国公司法》第十二条规定，公司的经营范围由公司章程规定，并依法登记。公司可以修改公司章程，改变经营范围，但是应当办理变更登记。

公司的经营范围中属于法律、行政法规规定须经批准的项目，应当依法经过批准。

《中华人民共和国公司登记管理条例》第二十二条规定，公司申请登记的经营范围中属于法律、行政法规或者国务院决定规定在登记前须经批准的项目的，应当在申请登记前报经国家有关部门批准，并向公司登记机关提交有关批准文件。","
                  法律依据：
                  《中华人民共和国公司法》第十二条

公司的经营范围由公司章程规定，并依法登记。公司可以修改公司章程，改变经营范围，但是应当办理变更登记。

公司的经营范围中属于法律、行政法规规定须经批准的项目，应当依法经过批准。

《中华人民共和国公司登记管理条例》第二十二条

公司申请登记的经营范围中属于法律、行政法规或者国务院决定规定在登记前须经批准的项目的，应当在申请登记前报经国家有关部门批准，并向公司登记机关提交有关批准文件。                "
"
          问
          股权转让后如何处理未分配利润        ","股东在转让股权时，其股权所对应的股东针对公司的财产权益、管理权利和义务也一并转让了。即股权转让价款中应该包含未分配利润的对价，不能另行核算。

《中华人民共和国公司法》第七十一条第一、二款规定，有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；不购买的，视为同意转让。","
                  法律依据：
                  中华人民共和国公司法第七十一条

有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；
不购买的，视为同意转让。

经股东同意转让的股权，在同等条件下，其他股东有优先购买权。两个以上股东主张行使优先购买权的，协商确定各自的购买比例；
协商不成的，按照转让时各自的出资比例行使优先购买权。

公司章程对股权转让另有规定的，从其规定。                "
"
          问
          董事会有权解释公司章程吗        ","公司章程是有股东共同制定的，其解释权属于股东会，但是如果章程中有规定董事会有权解释公司章程的，董事会有解释权。

《中华人民共和国公司法》第十一条规定，设立公司必须依法制定公司章程。公司章程对公司、股东、董事、监事、高级管理人员具有约束力。

第二十三条规定，设立有限责任公司，应当具备下列条件：

（一）股东符合法定人数；

（二）有符合公司章程规定的全体股东认缴的出资额；

（三）股东共同制定公司章程；

（四）有公司名称，建立符合有限责任公司要求的组织机构；

（五）有公司住所。","
                  法律依据：
                  《中华人民共和国公司法》第十一条

设立公司必须依法制定公司章程。公司章程对公司、股东、董事、监事、高级管理人员具有约束力。

第二十三条

设立有限责任公司，应当具备下列条件：

（一）股东符合法定人数；

（二）有符合公司章程规定的全体股东认缴的出资额；

（三）股东共同制定公司章程；

（四）有公司名称，建立符合有限责任公司要求的组织机构；

（五）有公司住所。                "
"
          问
          企业上市都需要哪些条件呢        ","企业上市需要的条件如下：

1、开业时间在三年以上，最近三年连续盈利；

2、股票经国务院证券监督管理机构核准已向社会公开发行；

3、公司股本总额不少于人民币三千万元；

4、持有股票面值达人民币一千元以上的股东人数不少于一千人，向社会公开发行的股份达公司股份总数的百分之二十五以上；公司股本总额超过人民币四亿元的，其向社会公开发行股份的比例为10%以上；

5、公司在最近三年内无重大违法行为，财务会计报告无虚假记载；

6、国务院规定的其他条件。

《中华人民共和国公司法》第一百二十条规定，本法所称上市公司，是指其股票在证券交易所上市交易的股份有限公司。","
                  法律依据：
                  《中华人民共和国公司法》第一百二十条

本法所称上市公司，是指其股票在证券交易所上市交易的股份有限公司。                "
"
          问
          什么情况是不能担任公司法定代表人        ","根据《企业法人法定代表人登记管理规定》第四条规定，有下列情形之一的，不得担任法定代表人，企业登记机关不予核准登记：

（一）无民事行为能力或者限制民事行为能力的；

（二）正在被执行刑罚或者正在被执行刑事强制措施的；

（三）正在被公安机关或者国家安全机关通缉的；

（四）因犯有贿赂罪、侵犯财产罪或者破坏社会主义市场经济秩序罪，被判处刑罚，执行期满未逾五年的；因犯有其他罪，被判处刑罚，执行期满未逾三年的；或者因犯罪被判处剥夺政治权利，执行期满未逾五年的；等。","
                  法律依据：
                  《企业法人法定代表人登记管理规定》第四条

有下列情形之一的，不得担任法定代表人，企业登记机关不予核准登记：

（一）无民事行为能力或者限制民事行为能力的；

（二）正在被执行刑罚或者正在被执行刑事强制措施的；

（三）正在被公安机关或者国家安全机关通缉的；

（四）因犯有贿赂罪、侵犯财产罪或者破坏社会主义市场经济秩序罪，被判处刑罚，执行期满未逾五年的；因犯有其他罪，被判处刑罚，执行期满未逾三年的；或者因犯罪被判处剥夺政治权利，执行期满未逾五年的。                "
"
          问
          公司法注册方式认缴制如何进行规定的        ","公司法注册方式认缴制的规定如下：

《中华人民共和国公司法》第二十六条规定，有限责任公司的注册资本为在公司登记机关登记的全体股东认缴的出资额。

法律、行政法规以及国务院决定对有限责任公司注册资本实缴、注册资本最低限额另有规定的，从其规定。

第二十八条规定，股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。

股东不按照前款规定缴纳出资的，除应当向公司足额缴纳外，还应当向已按期足额缴纳出资的股东承担违约责任。","
                  法律依据：
                  中华人民共和国公司法第二十六条

有限责任公司的注册资本为在公司登记机关登记的全体股东认缴的出资额。

法律、行政法规以及国务院决定对有限责任公司注册资本实缴、注册资本最低限额另有规定的，从其规定。

中华人民共和国公司法第二十八条

股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；
以非货币财产出资的，应当依法办理其财产权的转移手续。

股东不按照前款规定缴纳出资的，除应当向公司足额缴纳外，还应当向已按期足额缴纳出资的股东承担违约责任。                "
"
          问
          公司应怎么进行破产清算        ","公司破产清算流程：

1、成立清算组，接管破产企业；

2、清算组对破产企业的财产进行管理、清理、估价、处理、分配；

3、清算组提出分配方案，在债权人会上讨论通过，报人民法院批准后由清算组具体执行；

4、破产财产清算分配完毕，由清算组向人民法院汇报清算分配工作的情况，并请求法院裁定终结破产程序；

5、注销登记。

《中华人民共和国企业破产法》第一百二十条规定，破产人无财产可供分配的，管理人应当请求人民法院裁定终结破产程序。

管理人在最后分配完结后，应当及时向人民法院提交破产财产分配报告，并提请人民法院裁定终结破产程序。

人民法院应当自收到管理人终结破产程序的请求之日起十五日内作出是否终结破产程序的裁定。裁定终结的，应当予以公告。","
                  法律依据：
                  《中华人民共和国企业破产法》第一百二十条

破产人无财产可供分配的，管理人应当请求人民法院裁定终结破产程序。

管理人在最后分配完结后，应当及时向人民法院提交破产财产分配报告，并提请人民法院裁定终结破产程序。

人民法院应当自收到管理人终结破产程序的请求之日起十五日内作出是否终结破产程序的裁定。裁定终结的，应当予以公告。                "
"
          问
          股东会普通决议事项包括哪些        ","股东会普通决议事项：

1、董事会和监事会成员的罢免及其报酬和支付方法；

2、董事会拟订的利润分配方案和亏损弥补方案；

3、董事会和监事会的工作报告；

4、本公司年度初步及决算报告、资产负债表、损益表及其他财务报表；

5、其他非法律、行政法规或公司章程规定以特别决议的事项。

《中华人民共和国公司法》第四十三条规定，股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。","
                  法律依据：
                  《中华人民共和国公司法》第四十三条

股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。                "
"
          问
          侵害股东权益时股东如何起诉        ","侵害股东权益时股东可以按照以下规定起诉：

《中华人民共和国公司法》第一百五十二条规定，董事、高级管理人员违反法律、行政法规或者公司章程的规定，损害股东利益的，股东可以向人民法院提起诉讼。

第二十二条第一、二款规定，公司股东会或者股东大会、董事会的决议内容违反法律、行政法规的无效。

股东会或者股东大会、董事会的会议召集程序、表决方式违反法律、行政法规或者公司章程，或者决议内容违反公司章程的，股东可以自决议作出之日起六十日内，请求人民法院撤销。","
                  法律依据：
                  《中华人民共和国公司法》第一百五十二条

董事、高级管理人员违反法律、行政法规或者公司章程的规定，损害股东利益的，股东可以向人民法院提起诉讼。                "
"
          问
          股份有限公司股东人数是多少        ","根据《公司法》第七十八条的规定，股份有限公司股东人数，应当有二人以上二百人以下为发起人，其中须有半数以上的发起人在中国境内有住所。

第七十六条规定，设立股份有限公司，应当具备下列条件：

（一）发起人符合法定人数；

（二）有符合公司章程规定的全体发起人认购的股本总额或者募集的实收股本总额；

（三）股份发行、筹办事项符合法律规定；

（四）发起人制订公司章程，采用募集方式设立的经创立大会通过；

（五）有公司名称，建立符合股份有限公司要求的组织机构；

（六）有公司住所。","
                  法律依据：
                  《公司法》第七十六条

设立股份有限公司，应当具备下列条件：

（一）发起人符合法定人数；

（二）有符合公司章程规定的全体发起人认购的股本总额或者募集的实收股本总额；

（三）股份发行、筹办事项符合法律规定；

（四）发起人制订公司章程，采用募集方式设立的经创立大会通过；

（五）有公司名称，建立符合股份有限公司要求的组织机构；

（六）有公司住所。                "
"
          问
          可以不设股东会吗        ","除了一人有限责任公司、中外合资企业、中外合作企业、外商独资企业、国有独资企业这几种类型的公司可以不设置股东会之外，其他的所有有限责任公司和股份有限公司都必须依法设立股东会。

根据《公司法》第六十六条规定，国有独资公司不设股东会，由国有资产监督管理机构行使股东会职权。国有资产监督管理机构可以授权公司董事会行使股东会的部分职权，决定公司的重大事项，但公司的合并、分立、解散、增加或者减少注册资本和发行公司债券，必须由国有资产监督管理机构决定；其中，重要的国有独资公司合并、分立、解散、申请破产的，应当由国有资产监督管理机构审核后，报本级人民政府批准。

前款所称重要的国有独资公司，按照国务院的规定确定。","
                  法律依据：
                  《公司法》第六十六条

国有独资公司不设股东会，由国有资产监督管理机构行使股东会职权。国有资产监督管理机构可以授权公司董事会行使股东会的部分职权，决定公司的重大事项，但公司的合并、分立、解散、增加或者减少注册资本和发行公司债券，必须由国有资产监督管理机构决定；
其中，重要的国有独资公司合并、分立、解散、申请破产的，应当由国有资产监督管理机构审核后，报本级人民政府批准。

前款所称重要的国有独资公司，按照国务院的规定确定。                "
"
          问
          验资报告能证明出资了吗        ","验资报告可以证明出资。但是目前的《公司法》已经不再强制性要求以货币财产出资的股东进行验资了，但是以非货币财产出资的股东还需要进行验资，如果发现该非货币财产明显与认缴的资本有差距的，应当由该股东补交差额部分。

根据《公司法》第二十八条的规定，股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。

股东不按照前款规定缴纳出资的，除应当向公司足额缴纳外，还应当向已按期足额缴纳出资的股东承担违约责任。","
                  法律依据：
                  《公司法》第二十八条

股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；
以非货币财产出资的，应当依法办理其财产权的转移手续。

股东不按照前款规定缴纳出资的，除应当向公司足额缴纳外，还应当向已按期足额缴纳出资的股东承担违约责任。                "
"
          问
          出资不实需要承担违约责任吗        ","出资不实的股东需要承担违约责任。出资不实的股东，对内部应补足设立时认缴的出资额，并对其他已足额缴纳的股东承担违约责任；对外应在未足额出资的部分对公司债务承担连带责任。情节严重的，甚至可能需要承担刑事责任。

根据《刑法》第一百五十八条的规定，申请公司登记使用虚假证明文件或者采取其他欺诈手段虚报注册资本，欺骗公司登记主管部门，取得公司登记，虚报注册资本数额巨大、后果严重或者有其他严重情节的，处三年以下有期徒刑或者拘役，并处或者单处虚报注册资本金额百分之一以上百分之五以下罚金。

单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役。","
                  法律依据：
                  《刑法》第一百五十八条

申请公司登记使用虚假证明文件或者采取其他欺诈手段虚报注册资本，欺骗公司登记主管部门，取得公司登记，虚报注册资本数额巨大、后果严重或者有其他严重情节的，处三年以下有期徒刑或者拘役，并处或者单处虚报注册资本金额百分之一以上百分之五以下罚金。

单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役。                "
