字段1,字段2,字段3
"
          问
          亲子鉴定最快多长时间可以        ","亲子鉴定最快一周内可以出结果。

《民法典》第一千零七十三条规定，对亲子关系有异议且有正当理由的，父或者母可以向人民法院提起诉讼，请求确认或者否认亲子关系。

对亲子关系有异议且有正当理由的，成年子女可以向人民法院提起诉讼，请求确认亲子关系。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十九条规定，父或者母向人民法院起诉请求否认亲子关系，并已提供必要证据予以证明，另一方没有相反证据又拒绝做亲子鉴定的，人民法院可以认定否认亲子关系一方的主张成立。

父或者母以及成年子女起诉请求确认亲子关系，并提供必要证据予以证明，另一方没有相反证据又拒绝做亲子鉴定的，人民法院可以认定确认亲子关系一方的主张成立。","
                  法律依据：
                  《民法典》第一千零七十三条

对亲子关系有异议且有正当理由的，父或者母可以向人民法院提起诉讼，请求确认或者否认亲子关系

对亲子关系有异议且有正当理由的，成年子女可以向人民法院提起诉讼，请求确认亲子关系。                "
"
          问
          打印的遗嘱可以生效吗        ","打印的遗嘱可以生效。有效的条件：

1、遗嘱人具有完全民事行为能力；

2、意思表示真实，不能受欺诈、胁迫；

3、不是伪造遗嘱；

4、遗嘱内容合法；

5、遗嘱所处分的遗产是遗嘱人有权处分的；

6、有两个以上见证人在场见证。

《民法典》第一千一百三十六条规定，打印遗嘱应当有两个以上见证人在场见证。遗嘱人和见证人应当在遗嘱每一页签名，注明年、月、日。

第一千一百四十条规定，下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。","
                  法律依据：
                  《民法典》第一千一百三十六条

打印遗嘱应当有两个以上见证人在场见证。遗嘱人和见证人应当在遗嘱每一页签名，注明年、月、日。

第一千一百四十条

下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。                "
"
          问
          根据法律规定，哪些行为会导致丧失继承权        ","根据《民法典》第一千一百二十五条规定，继承人有下列行为之一的，会导致丧失继承权：

（一）故意杀害被继承人；

（二）为争夺遗产而杀害其他继承人；

（三）遗弃被继承人，或者虐待被继承人情节严重；

（四）伪造、篡改、隐匿或者销毁遗嘱，情节严重；

（五）以欺诈、胁迫手段迫使或者妨碍被继承人设立、变更或者撤回遗嘱，情节严重。

继承人有前款第三项至第五项行为，确有悔改表现，被继承人表示宽恕或者事后在遗嘱中将其列为继承人的，该继承人不丧失继承权。

受遗赠人有本条第一款规定行为的，丧失受遗赠权。","
                  法律依据：
                  《民法典》第一千一百二十五条

继承人有下列行为之一的，丧失继承权：

（一）故意杀害被继承人；

（二）为争夺遗产而杀害其他继承人；

（三）遗弃被继承人，或者虐待被继承人情节严重；

（四）伪造、篡改、隐匿或者销毁遗嘱，情节严重；

（五）以欺诈、胁迫手段迫使或者妨碍被继承人设立、变更或者撤回遗嘱，情节严重。

继承人有前款第三项至第五项行为，确有悔改表现，被继承人表示宽恕或者事后在遗嘱中将其列为继承人的，该继承人不丧失继承权。

受遗赠人有本条第一款规定行为的，丧失受遗赠权。                "
"
          问
          代书遗嘱的见证人不出庭作证有效吗        ","代书遗嘱的见证人不出庭作证有效。没有明确规定代书遗嘱的见证人必须要出庭作证的，只要在代书遗嘱中写明具体内容时，见证人只提供证言不到庭也是可以的。

《民法典》第一千一百三十五条规定，代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。

第一千一百四十条规定，下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。","
                  法律依据：
                  《民法典》第一千一百三十五条

代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。

《民法典》第一千一百四十条

下列人员不能作为遗嘱见证人：


（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；


（二）继承人、受遗赠人；


（三）与继承人、受遗赠人有利害关系的人。                "
"
          问
          变更抚养权协议不经法院审理有效吗        ","变更抚养权协议不经法院审理有效。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十六条规定，具有下列情形之一，父母一方要求变更子女抚养关系的，人民法院应予支持：

（一）与子女共同生活的一方因患严重疾病或者因伤残无力继续抚养子女；

（二）与子女共同生活的一方不尽抚养义务或有虐待子女行为，或者其与子女共同生活对子女身心健康确有不利影响；

（三）已满八周岁的子女，愿随另一方生活，该方又有抚养能力；

（四）有其他正当理由需要变更。

第五十七条规定，父母双方协议变更子女抚养关系的，人民法院应予支持。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十六条

具有下列情形之一，父母一方要求变更子女抚养关系的，人民法院应予支持：

（一）与子女共同生活的一方因患严重疾病或者因伤残无力继续抚养子女；

（二）与子女共同生活的一方不尽抚养义务或有虐待子女行为，或者其与子女共同生活对子女身心健康确有不利影响；

（三）已满八周岁的子女，愿随另一方生活，该方又有抚养能力；

（四）有其他正当理由需要变更。

第五十七条

父母双方协议变更子女抚养关系的，人民法院应予支持。                "
"
          问
          男女双方起诉离婚可以去法院吗        ","男女双方起诉离婚可以去法院。

《民法典》第一千零七十九条规定，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：

（一）重婚或者与他人同居；

（二）实施家庭暴力或者虐待、遗弃家庭成员；

（三）有赌博、吸毒等恶习屡教不改；

（四）因感情不和分居满二年；

（五）其他导致夫妻感情破裂的情形。

一方被宣告失踪，另一方提起离婚诉讼的，应当准予离婚。

经人民法院判决不准离婚后，双方又分居满一年，一方再次提起离婚诉讼的，应当准予离婚。","
                  法律依据：
                  《民法典》第一千零七十九条

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：

（一）重婚或者与他人同居；

（二）实施家庭暴力或者虐待、遗弃家庭成员；

（三）有赌博、吸毒等恶习屡教不改；

（四）因感情不和分居满二年；

（五）其他导致夫妻感情破裂的情形。                "
"
          问
          现在是否还有社会抚养费        ","现在还有社会抚养费。

《社会抚养费征收管理办法》第三条规定，不符合人口与计划生育法第十八条的规定生育子女的公民，应当依照本办法的规定缴纳社会抚养费。

社会抚养费的征收标准，分别以当地城镇居民年人均可支配收入和农村居民年人均纯收入为计征的参考基本标准，结合当事人的实际收入水平和不符合法律、法规规定生育子女的情节，确定征收数额。社会抚养费的具体征收标准由省、自治区、直辖市规定。

任何单位和个人不得违反法律、法规的规定擅自增设与计划生育有关的收费项目，提高社会抚养费征收标准。","
                  法律依据：
                  《社会抚养费征收管理办法》第三条

不符合人口与计划生育法第十八条的规定生育子女的公民，应当依照本办法的规定缴纳社会抚养费。

社会抚养费的征收标准，分别以当地城镇居民年人均可支配收入和农村居民年人均纯收入为计征的参考基本标准，结合当事人的实际收入水平和不符合法律、法规规定生育子女的情节，确定征收数额。社会抚养费的具体征收标准由省、自治区、直辖市规定。

任何单位和个人不得违反法律、法规的规定擅自增设与计划生育有关的收费项目，提高社会抚养费征收标准。                "
"
          问
          分割遗产时遵循的原则是什么        ","分割遗产时遵循的原则：

1、同一顺序继承人继承遗产的份额均等的原则。

2、自由分割原则。

3、互谅互让、和睦团结、协商处理原则。

4、物尽其用原则。

《民法典》第一千一百三十二条规定，继承人应当本着互谅互让、和睦团结的精神，协商处理继承问题。遗产分割的时间、办法和份额，由继承人协商确定；协商不成的，可以由人民调解委员会调解或者向人民法院提起诉讼。

第一千一百五十六条规定，遗产分割应当有利于生产和生活需要，不损害遗产的效用。

不宜分割的遗产，可以采取折价、适当补偿或者共有等方法处理。","
                  法律依据：
                  中华人民共和国民法典第一千一百三十二条

继承人应当本着互谅互让、和睦团结的精神，协商处理继承问题。遗产分割的时间、办法和份额，由继承人协商确定；
协商不成的，可以由人民调解委员会调解或者向人民法院提起诉讼。

中华人民共和国民法典第一千一百五十六条

遗产分割应当有利于生产和生活需要，不损害遗产的效用。

不宜分割的遗产，可以采取折价、适当补偿或者共有等方法处理。                "
"
          问
          婚前买的房子婚后可以算共同财产吗        ","婚前买的房子婚后不能算共同财产。

《民法典》第一千零六十三条规定，下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十一条规定，民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。","
                  法律依据：
                  中华人民共和国民法典第一千零六十三条

下列财产为夫妻一方的个人财产：


（一）一方的婚前财产；


（二）一方因受到人身损害获得的赔偿或者补偿；


（三）遗嘱或者赠与合同中确定只归一方的财产；


（四）一方专用的生活用品；


（五）其他应当归一方的财产。

最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）第三十一条

民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。                "
"
          问
          嫁妆和彩礼是夫妻共同财产吗        ","嫁妆和彩礼不是夫妻共同财产。嫁妆和彩礼一般认定为只赠与一方的财产，属于一方个人财产。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五条规定，当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：

（一）双方未办理结婚登记手续；

（二）双方办理结婚登记手续但确未共同生活；

（三）婚前给付并导致给付人生活困难。

适用前款第二项、第三项的规定，应当以双方离婚为条件。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五条

当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：

（一）双方未办理结婚登记手续；

（二）双方办理结婚登记手续但确未共同生活；

（三）婚前给付并导致给付人生活困难。

适用前款第二项、第三项的规定，应当以双方离婚为条件。                "
