字段1,字段2,字段3
"
          问
          怎么才能入股分公司        ","分公司是不可以入股的，因为分公司并不属于企业法人，只能入股设立该分公司的总公司。

根据《公司法》第十四条第一款的规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

第二十七条规定，股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。

对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。","
                  法律依据：
                  《公司法》第十四条第一款

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

第二十七条

股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。

对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。                "
"
          问
          一人可以注册几个公司法人吗        ","一人可以注册一个以及多个公司，个数没有限制。一个人可以成为多少个公司的法定代表人，也没有法律限制。

《公司登记管理条例》第九条规定，公司的登记事项包括：

（一）名称；

（二）住所；

（三）法定代表人姓名；

（四）注册资本；

（五）公司类型；

（六）经营范围；

（七）营业期限；

（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。

《公司法》第十三条规定，公司法定代表人依照公司章程的规定，由董事长、执行董事或者经理担任，并依法登记。公司法定代表人变更，应当办理变更登记。","
                  法律依据：
                  《公司登记管理条例》第九条

公司的登记事项包括：

（一）名称；（二）住所；（三）法定代表人姓名；（四）注册资本；（五）公司类型；（六）经营范围；（七）营业期限；（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。

《公司法》第十三条

公司法定代表人依照公司章程的规定，由董事长、执行董事或者经理担任，并依法登记。公司法定代表人变更，应当办理变更登记。                "
"
          问
          股东可以借款给公司吗        ","一般而言，股东可以借款给公司。

根据《公司法》第三条的规定，公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。

第二十条第一款规定，公司股东应当遵守法律、行政法规和公司章程，依法行使股东权利，不得滥用股东权利损害公司或者其他股东的利益；不得滥用公司法人独立地位和股东有限责任损害公司债权人的利益。","
                  法律依据：
                  中华人民共和国公司法第三条

公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；
股份有限公司的股东以其认购的股份为限对公司承担责任。

中华人民共和国公司法第二十条

公司股东应当遵守法律、行政法规和公司章程，依法行使股东权利，不得滥用股东权利损害公司或者其他股东的利益；
不得滥用公司法人独立地位和股东有限责任损害公司债权人的利益。                "
"
          问
          公司注册地址可以是自己家吗        ","公司注册地址不可以是自己的住宅。

《公司登记管理条例》第九条规定，公司的登记事项包括：

（一）名称；

（二）住所；

（三）法定代表人姓名；

（四）注册资本；

（五）公司类型；

（六）经营范围；

（七）营业期限；

（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。

第十二条规定，公司的住所是公司主要办事机构所在地。经公司登记机关登记的公司的住所只能有一个。公司的住所应当在其公司登记机关辖区内。","
                  法律依据：
                  《公司登记管理条例》第九条

公司的登记事项包括：

（一）名称；（二）住所；（三）法定代表人姓名；（四）注册资本；（五）公司类型；（六）经营范围；（七）营业期限；（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。

第十二条

公司的住所是公司主要办事机构所在地。经公司登记机关登记的公司的住所只能有一个。公司的住所应当在其公司登记机关辖区内。                "
"
          问
          公司法人死了公司的债务怎么办        ","公司法定代表人过世不影响公司债务的偿还，公司的债务依然由公司偿还。

《公司法》第三条规定，公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。

《民法典》第六十二条规定，法定代表人因执行职务造成他人损害的，由法人承担民事责任。

法人承担民事责任后，依照法律或者法人章程的规定，可以向有过错的法定代表人追偿。","
                  法律依据：
                  中华人民共和国公司法第三条

公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；
股份有限公司的股东以其认购的股份为限对公司承担责任。

中华人民共和国民法典第六十二条

法定代表人因执行职务造成他人损害的，由法人承担民事责任。

法人承担民事责任后，依照法律或者法人章程的规定，可以向有过错的法定代表人追偿。                "
"
          问
          母公司债权债务子公司负责吗        ","母公司、子公司均为独立企业法，母公司债权债务子公司不负责，但母公司的债权人可以保全并执行母公司在子公司的股权。

《公司法》第三条规定，公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。

第十四条规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。","
                  法律依据：
                  《公司法》第三条

公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。

第十四条

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。                "
"
          问
          员工为单位货款担保应担连带清偿责任吗        ","员工为单位货款担保，应当承担相应的担保责任，当单位不能履行到期债务时，担保人履行债务。

《民法典》第六百八十六条规定，保证的方式包括一般保证和连带责任保证。

当事人在保证合同中对保证方式没有约定或者约定不明确的，按照一般保证承担保证责任。

第六百八十八条规定，当事人在保证合同中约定保证人和债务人对债务承担连带责任的，为连带责任保证。

连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。","
                  法律依据：
                  《民法典》第六百八十六条

保证的方式包括一般保证和连带责任保证。

当事人在保证合同中对保证方式没有约定或者约定不明确的，按照一般保证承担保证责任。

第六百八十八条

当事人在保证合同中约定保证人和债务人对债务承担连带责任的，为连带责任保证。

连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。                "
"
          问
          抽逃出资的举证责任是什么        ","根据《最高人民法院关于适用若干问题的规定（三）》第二十条规定，当事人之间对是否已履行出资义务发生争议，原告提供对股东履行出资义务产生合理怀疑证据的，被告股东应当就其已履行出资义务承担举证责任。

《公司法》第三十五条规定，公司成立后，股东不得抽逃出资。

第二百条规定，公司的发起人、股东在公司成立后，抽逃其出资的，由公司登记机关责令改正，处以所抽逃出资金额百分之五以上百分之十五以下的罚款。","
                  法律依据：
                  《最高人民法院关于适用若干问题的规定（三）》第二十条

当事人之间对是否已履行出资义务发生争议，原告提供对股东履行出资义务产生合理怀疑证据的，被告股东应当就其已履行出资义务承担举证责任。

《公司法》第三十五条

公司成立后，股东不得抽逃出资。

第二百条

公司的发起人、股东在公司成立后，抽逃其出资的，由公司登记机关责令改正，处以所抽逃出资金额百分之五以上百分之十五以下的罚款。                "
"
          问
          合伙人对合伙债务承担什么责任        ","合伙人对合伙债务承担无限连带清偿责任。

《民法典》第九百七十二条规定，合伙的利润分配和亏损分担，按照合伙合同的约定办理；合伙合同没有约定或者约定不明确的，由合伙人协商决定；协商不成的，由合伙人按照实缴出资比例分配、分担；无法确定出资比例的，由合伙人平均分配、分担。

第九百七十三条规定，合伙人对合伙债务承担连带责任。清偿合伙债务超过自己应当承担份额的合伙人，有权向其他合伙人追偿。

第九百七十八条规定，合伙合同终止后，合伙财产在支付因终止而产生的费用以及清偿合伙债务后有剩余的，依据本法第九百七十二条的规定进行分配。","
                  法律依据：
                  中华人民共和国民法典第九百七十二条

合伙的利润分配和亏损分担，按照合伙合同的约定办理；
合伙合同没有约定或者约定不明确的，由合伙人协商决定；
协商不成的，由合伙人按照实缴出资比例分配、分担；
无法确定出资比例的，由合伙人平均分配、分担。

中华人民共和国民法典第九百七十三条

合伙人对合伙债务承担连带责任。清偿合伙债务超过自己应当承担份额的合伙人，有权向其他合伙人追偿。

中华人民共和国民法典第九百七十八条

合伙合同终止后，合伙财产在支付因终止而产生的费用以及清偿合伙债务后有剩余的，依据本法的规定进行分配。                "
"
          问
          公司转让后债权债务谁来承担        ","公司转让、分立、合并经变更登记后，其债权债务由变更后的法人享有和承担。

《公司法》第一百七十四条规定，公司合并时，合并各方的债权、债务，应当由合并后存续的公司或者新设的公司承继。

第一百七十三条规定，公司合并，应当由合并各方签订合并协议，并编制资产负债表及财产清单。公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上公告。债权人自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，可以要求公司清偿债务或者提供相应的担保。","
                  法律依据：
                  《公司法》第一百七十三条

公司合并，应当由合并各方签订合并协议，并编制资产负债表及财产清单。公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上公告。债权人自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，可以要求公司清偿债务或者提供相应的担保。

《公司法》第一百七十四条

公司合并时，合并各方的债权、债务，应当由合并后存续的公司或者新设的公司承继。                "
"
          问
          一人有限公司可以聘请法人吗        ","一人有限责任公司一般可以聘请公司中的执行董事或经理担任法定代表人。

《公司法》第十三条规定，公司法定代表人依照公司章程的规定，由董事长、执行董事或者经理担任，并依法登记。公司法定代表人变更，应当办理变更登记。

第五十七条规定，一人有限责任公司的设立和组织机构，适用本节规定；本节没有规定的，适用本章第一节、第二节的规定。

本法所称一人有限责任公司，是指只有一个自然人股东或者一个法人股东的有限责任公司。

第五十八条规定，一个自然人只能投资设立一个一人有限责任公司。该一人有限责任公司不能投资设立新的一人有限责任公司。","
                  法律依据：
                  《公司法》第十三条

公司法定代表人依照公司章程的规定，由董事长、执行董事或者经理担任，并依法登记。公司法定代表人变更，应当办理变更登记。

第五十七条

一人有限责任公司的设立和组织机构，适用本节规定；本节没有规定的，适用本章第一节、第二节的规定。

本法所称一人有限责任公司，是指只有一个自然人股东或者一个法人股东的有限责任公司。

第五十八条

一个自然人只能投资设立一个一人有限责任公司。该一人有限责任公司不能投资设立新的一人有限责任公司。                "
"
          问
          申请强制破产条件        ","根据《企业破产法》第二条第一款的规定，申请强制破产条件为：企业法人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力。

《企业破产法》第七条规定，债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。

企业法人已解散但未清算或者未清算完毕，资产不足以清偿债务的，依法负有清算责任的人应当向人民法院申请破产清算。","
                  法律依据：
                  《企业破产法》第二条

企业法人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力的，依照本法规定清理债务。

《企业破产法》第七条

债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。

企业法人已解散但未清算或者未清算完毕，资产不足以清偿债务的，依法负有清算责任的人应当向人民法院申请破产清算。                "
"
          问
          公司社保年审需要什么资料        ","公司社保年审一般需要的资料如下：

1、工商营业执照；

2、组织机构统一代码证书；

3、地方税务登记证；

4、社会保险登记证；

5、在职员工的登记表；

6、其它财务报表。

根据《社会保险费征缴暂行条例》第十七条的规定，缴费单位应当每年向本单位职工公布本单位全年社会保险费缴纳情况，接受职工监督。

社会保险经办机构应当定期向社会公告社会保险费征收情况，接受社会监督。","
                  法律依据：
                  《社会保险费征缴暂行条例》第十七条

缴费单位应当每年向本单位职工公布本单位全年社会保险费缴纳情况，接受职工监督。

社会保险经办机构应当定期向社会公告社会保险费征收情况，接受社会监督。                "
"
          问
          公司的解散与清算怎么处理        ","公司的解散与清算处理程序如下：

1、出现解散事由，十五日内成立清算组；

2、十日内通知债权人申报债权；

3、六十日内在报纸上公告；

4、编制资产负债表和财产清单、制定清算方案；

5、确认方案后开始清算；

6、清算程序结束后，注销公司。

《公司法》第一百八十条规定，公司因下列原因解散：

（一）公司章程规定的营业期限届满或者公司章程规定的其他解散事由出现；

（二）股东会或者股东大会决议解散；

（三）因公司合并或者分立需要解散；

（四）依法被吊销营业执照、责令关闭或者被撤销；

（五）人民法院依照本法第一百八十二条的规定予以解散。","
                  法律依据：
                  《公司法》第一百八十条

公司因下列原因解散：

（一）公司章程规定的营业期限届满或者公司章程规定的其他解散事由出现；

（二）股东会或者股东大会决议解散；

（三）因公司合并或者分立需要解散；

（四）依法被吊销营业执照、责令关闭或者被撤销；

（五）人民法院依照本法第一百八十二条的规定予以解散。                "
"
          问
          股东出资的条件        ","根据《公司法》第二十七条的规定，股东出资的条件为：

1、用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；

2、出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。

《公司法》第二十八条第一款规定，股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。","
                  法律依据：
                  《公司法》第二十七条

股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。

对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。

第二十八条第一款

股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。                "
"
          问
          分公司被吊销的后果        ","分公司被吊销的后果为：必须办理注销登记、营业执照会被收缴。

《公司法》第十四条第一款规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十九条规定，分公司被公司撤销、依法责令关闭、吊销营业执照的，公司应当自决定作出之日起30日内向该分公司的公司登记机关申请注销登记。申请注销登记应当提交公司法定代表人签署的注销登记申请书和分公司的《营业执照》。公司登记机关准予注销登记后，应当收缴分公司的《营业执照》。","
                  法律依据：
                  《公司法》第十四条第一款

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十九条

分公司被公司撤销、依法责令关闭、吊销营业执照的，公司应当自决定作出之日起30日内向该分公司的公司登记机关申请注销登记。申请注销登记应当提交公司法定代表人签署的注销登记申请书和分公司的《营业执照》。公司登记机关准予注销登记后，应当收缴分公司的《营业执照》。                "
"
          问
          有营业执照就是独立法人吗        ","有营业执照并不一定就是独立法人，比如个体工商户有营业执照但并不是法人。

根据《民法典》第五十七条的规定，法人是具有民事权利能力和民事行为能力，依法独立享有民事权利和承担民事义务的组织。

第五十八条规定，法人应当依法成立。

法人应当有自己的名称、组织机构、住所、财产或者经费。法人成立的具体条件和程序，依照法律、行政法规的规定。

设立法人，法律、行政法规规定须经有关机关批准的，依照其规定。

《个体工商户条例》第八条第一款规定，申请登记为个体工商户，应当向经营场所所在地登记机关申请注册登记。申请人应当提交登记申请书、身份证明和经营场所证明。","
                  法律依据：
                  《民法典》第五十七条

法人是具有民事权利能力和民事行为能力，依法独立享有民事权利和承担民事义务的组织。

《民法典》第五十八条

法人应当依法成立。

法人应当有自己的名称、组织机构、住所、财产或者经费。法人成立的具体条件和程序，依照法律、行政法规的规定。

设立法人，法律、行政法规规定须经有关机关批准的，依照其规定。

《个体工商户条例》第八条

申请登记为个体工商户，应当向经营场所所在地登记机关申请注册登记。申请人应当提交登记申请书、身份证明和经营场所证明。                "
